"","study_name","id","lambda.best","alpha.best","eta.best","delta.best"
"455","Chib2014","23",2.77987192637533,1.03614859721252,0.707165459475082,NA
"456","Frydman2014","23",10.779,5.0679,0.33214,NA
"457","Gloeckner2012","23",0.55697,0.64887,0.010748,0.81012
"458","Kocher2011","23",1.6465e-25,16.828,0.37227,0.091537
"459","Lorains2014","23",1.0076,0.025228,1.4101e+112,NA
"460","Pahlke2012","23",2.30204197609629,1.17517082574875,1.2420376138958,0.456006479245056
"461","Pighin2014","23",1.95717968225009,1.39838086991441,0.432472317050278,NA
"462","Rieskamp2008","23",0.467126104901605,1.24645498507914,0.119632881951127,0.427014065826308
"463","Vrecko2012","23",1.5476,0.9409,4.2145,0.71474
"464","Zeisberger2012","23",19257.01951,8.987044007,2.90771524,10.21496741
"465","Vrecko2012","230",1.1365802,1.406969876,7.707299695,0.408877223
"466","Pahlke2012","231",1.9464e+13,0.25012,0.47827,NA
"467","Vrecko2012","231",0.061629157,2.5932599,7.543765293,0.2924979
"468","Vrecko2012","232",0.035329664,1.36499953,6.583057178,0.359709783
"469","Vrecko2012","233",2.4993,1.2029,3.044,0.8636
"470","Vrecko2012","234",1939700000,19.466,3.3443,0.0272
"471","Vrecko2012","235",0.16564,0.7991,3.5893,0.99374
"472","Pahlke2012","237",1.87420596785287,0.551887366384923,0.356713618330397,0.574747009035448
"473","Pahlke2012","238",3.86026869654718,0.845912873613075,0.782953624245647,0.711665857874758
"474","Pahlke2012","239",2.024152735789,1.00301420498783,14.1495167941226,1.1392500562374
"475","Canessa2013","24",1.0204,0.32938,489.64,NA
"476","Chib2014","24",2.59261938016858,1.40835816503707,0.755307314188373,NA
"477","Frydman2014","24",0.72241,0.73938,-0.57943,NA
"478","Gloeckner2012","24",8.646e-08,9.0415e-08,0.0082142,0.90312
"479","Kocher2011","24",-0.25768,0.76992,0.53625,0.83709
"480","Lorains2014","24",1.02,0.014959,3.2061e+178,NA
"481","Pahlke2012","24",2.93704742243657,1.39811973406635,0.767557666011159,0.350042746314587
"482","Pighin2014","24",3.5599,0.77564,0.72014,NA
"483","Rieskamp2008","24",1.61479936169299,1.02985251141809,0.12935467369265,0.512129090259248
"484","Vrecko2012","24",0.70344,0.92216,4.5704,0.51501
"485","Zeisberger2012","24",1.1252,0.98752,2.3133,0.96731
"486","Pahlke2012","240",135617.458535271,1.14327617998435,1.21866918307073,0.449624401435925
"487","Zank2010","240350",2.07e+13,0.97908,-8.2319,0.9999
"488","Zank2010","240559",-9530066.65155233,0.544111691885646,0.314119515299068,18.1306805075324
"489","Zank2010","240567",1.80488782713448,1.77372475674424,2.8785993066413,1.09333829519484
"490","Brooks2014","241509",3.6115,1.0965,0.77048,NA
"491","Zank2010","241525",-923.276238777514,245.509155357354,-0.949312036519256,952.815553478708
"492","Zank2010","241881",544528.116762943,0.830777277437439,-6.71568101390682,0.970764639470515
"493","Zank2010","241884",657255.402436882,0.952197907002877,-6.53913794217961,1.00864707114219
"494","Zank2010","242109",0.98946,5.8308,0.97258,1.3159
"495","Zank2010","242121",0.48557,2.6925,2.3704,1.5236
"496","Zank2010","243132",24.644,1.8131,-2.5767,3.8967
"497","Zank2010","243318",15.6007540732689,1.67103395266411,-1.58322179061678,4.77817035867166
"498","Canessa2013","25",1.0053,0.0089012,6.1161e+307,NA
"499","Chib2014","25",2.1037,0.87523,1.7446,NA
"500","Frydman2014","25",1.50691666972553,0.610779796886502,0.292878946343875,NA
"501","Gloeckner2012","25",9.6464,0.4943,0.012026,0.69035
"502","Kocher2011","25",2.5132,0.30068,0.067031,0.89646
"503","Lorains2014","25",2.0858,12.293,3.2235,NA
"504","Pighin2014","25",2.4363,1.051,0.90979,NA
"505","Rieskamp2008","25",1.17704476303619,1.04785604098985,0.0912373932375067,0.806685545843638
"506","Vrecko2012","25",0.38256,1.1149,5.5251,1.002
"507","Zeisberger2012","25",0.90593,1.0918,5.1547,0.7256
"508","Brooks2014","251660",-25019,1,604.34,NA
"509","Brooks2014","252391",2.2389,0.90585,1.4186,NA
"510","Brooks2014","252402",1.36421099011588,0.586543500358157,-1.43781864519333,NA
"511","Zank2010","252411",2.5071,1.4349,1.5878,0.84636
"512","Brooks2014","252436",2.58619152369217,1.03884374196082,-0.790940429792471,NA
"513","Brooks2014","252481",1.81815253289894,0.867024360467446,-2.75544746016283,NA
"514","Brooks2014","252488",-278.48,1.9463,0.13535,NA
"515","Brooks2014","252502",-1.37e-13,0.47659,0.78705,NA
"516","Brooks2014","252512",1.76765853516529,1.27154725875012,2.45915790026707,NA
"517","Brooks2014","252527",1.61444018613911,1.44206948443963,1.45190808755023,NA
"518","Brooks2014","252536",2.41730139563384e-06,0.234544136664455,-0.51647893232154,NA
"519","Brooks2014","252537",1.64694855706275,2.48958249808822,0.238408308966529,NA
"520","Brooks2014","252557",6.78160139097233,0.966249577531088,-2.61750462539238,NA
"521","Brooks2014","252617",4.74162515932315,3.6342646015251,0.0862147551044276,NA
"522","Brooks2014","252634",1.66257778577893,0.703240770568591,0.910525707522601,NA
"523","Brooks2014","252636",6.87280444909039,0.980496097688023,6.40797978971201,NA
"524","Brooks2014","252659",1.95086138533585,0.720653399188732,-0.539174854390004,NA
"525","Brooks2014","252660",1.29076187418432,1.76640216969774,0.356222693790851,NA
"526","Brooks2014","252663",2.01002296929305,1.14971296018197,0.867337996257631,NA
"527","Brooks2014","252672",2.49965513881011,0.999432880965437,7.12582573282473,NA
"528","Brooks2014","252693",1.54e+13,0.74657,-2.5741,NA
"529","Brooks2014","252719",2.3224263933347,1.68314641825943,-0.90892131059159,NA
"530","Brooks2014","252734",3.8381,0.88211,0.18968,NA
"531","Brooks2014","252736",1.1308,0.98702,11.32,NA
"532","Brooks2014","252768",2.81349665636371,0.568984659143969,-1.9313917740719,NA
"533","Brooks2014","252788",1.00118254688987,1.0127675783963,60.5006123059408,NA
"534","Brooks2014","252789",3.72465174930108,0.766346429142234,0.734761140579417,NA
"535","Brooks2014","252811",3.59530327941661,2.91884401177515,-0.140397161918494,NA
"536","Brooks2014","252819",1.4881,1.9086,0.38236,NA
"537","Zank2010","252910",56.799,1.6078,-1.5133,4.092
"538","Zank2010","253032",408.301037518925,47.3026671478694,0.289997905325031,12.0477521217696
"539","Zank2010","253035",1149830.95756444,0.757535302451923,-5.3661995468102,1.07718007313324
"540","Zank2010","253036",3.095,0.9928,-4.2324,1.059
"541","Zank2010","253043",14.206,2.3538,2.865,2.9285
"542","Zank2010","253047",1.00000116161256,78.6813226197545,0.182142843629624,1.23642429881659
"543","Zank2010","253053",2.93162298635826,0.93869139314806,7.40891090646942,1.08460040287755
"544","Canessa2013","26",1.94275891642945,1.97379915566027,0.0924076945321842,NA
"545","Chib2014","26",2.76996451021852,1.02383195307429,1.0831033574087,NA
"546","Frydman2014","26",0.76203,0.7197,-0.22861,NA
"547","Gloeckner2012","26",0.10006,0.34728,0.007403,0.61837
"548","Kocher2011","26",28929000,59.657,-3.4193,0.01649
"549","Lorains2014","26",5.7348,1.5873,9.2914,NA
"550","Pighin2014","26",0.955297978251427,1.92362708032116,0.158135846331861,NA
"551","Rieskamp2008","26",1.30689262554347,1.03417931948172,0.117349573644359,0.59485230811626
"552","Vrecko2012","26",0.45291,1.1756,4.4861,0.38145
"553","Zeisberger2012","26",0.92301,1.0341,2.0343,0.9161
"554","Canessa2013","27",0.98803,0.037693,4.0276e+65,NA
"555","Chib2014","27",7.39524399407,2.9969786818329,0.386361232214216,NA
"556","Frydman2014","27",324097.736141486,0.456517608284313,0.347108337071983,NA
"557","Gloeckner2012","27",5.0502,0.92793,0.0091818,1.9904
